RecordID,carat,cut,color,clarity,depth,table,x,y,z,price
143,0.81,Ideal,I,SI1,62.2,57,5.95,5.98,3.71,2323
145,1.71,Fair,I,SI2,65.1,60,7.5,7.46,4.87,8800
146,0.32,Premium,E,VVS2,61.1,58,4.42,4.45,2.71,842
147,1.03,Premium,E,SI2,61.4,58,6.49,6.45,3.97,4328
148,0.36,Very Good,E,SI1,63.5,58,4.46,4.49,2.84,593
149,0.71,Very Good,F,VVS2,62,56,5.71,5.74,3.55,3612
150,1.01,Premium,H,SI1,62.4,60,6.36,6.33,3.96,4836
153,2.08,Premium,I,SI1,60.3,59,8.26,8.22,4.97,15065
154,1.04,Very Good,I,SI1,63.2,54,6.49,6.42,4.08,4193
157,0.37,Premium,G,SI1,62.1,60,4.54,4.61,2.84,551
158,0.21,Premium,D,VS2,61.6,59,3.82,3.78,2.34,386
169,0.5,Fair,G,VS1,65.7,63,4.97,4.87,3.23,1257
170,0.53,Ideal,G,VVS1,61.4,57,5.21,5.18,3.19,2106
175,0.3,Good,G,VS1,63.3,56,4.28,4.31,2.72,565
178,2.26,Very Good,D,SI2,61.6,61,8.47,8.38,5.19,18028
180,1,Very Good,E,VS1,63,58,6.29,6.38,3.99,7676
181,0.9,Very Good,G,SI1,63.6,57,6.07,6.13,3.88,3718
184,0.7,Very Good,H,VS2,61.4,54,5.77,5.66,3.51,2138
186,0.9,Ideal,H,VVS2,62,57,6.15,6.2,3.83,4924
187,0.7,Premium,D,SI2,59.3,59,5.79,5.74,3.42,2562
188,1.01,Premium,G,SI2,63,59,6.38,6.32,4,3923
189,0.71,Ideal,G,SI1,59.7,60,5.79,5.81,3.46,2522
191,0.3,Premium,G,VVS1,61.3,58,4.33,4.29,2.64,945
192,1.5,Good,G,VS1,63.6,57,7.23,7.14,4.57,10036
197,0.72,Very Good,J,VS2,63.2,60,5.77,5.7,3.63,1814
201,0.38,Ideal,E,SI1,61.9,55,4.64,4.7,2.89,700
205,0.7,Very Good,E,VS1,63.4,57,5.63,5.67,3.58,3095
206,0.23,Very Good,G,VVS2,62.9,55,3.88,3.92,2.45,431
209,1.11,Ideal,H,SI2,61.3,55,6.65,6.73,4.1,4578
211,0.92,Very Good,J,VS2,60.9,62,6.26,6.31,3.83,3146
213,0.71,Ideal,F,VS1,62.1,55,5.82,5.68,3.57,2839
215,1.27,Ideal,F,IF,61.3,55,6.98,7.02,4.29,15377
220,1.04,Premium,I,SI2,62,57,6.53,6.47,4.03,3774
222,0.74,Ideal,G,VS2,61.3,55,5.82,5.89,3.59,2604
224,0.26,Ideal,H,VS1,61.8,56,4.12,4.14,2.55,448
230,0.4,Very Good,F,VVS1,61.9,59,4.71,4.75,2.93,1111
231,1.21,Ideal,H,VS2,62.4,59,6.81,6.79,4.24,7236
232,0.35,Ideal,D,SI1,61.6,56,4.53,4.49,2.78,827
233,0.53,Ideal,F,IF,61.9,54,5.22,5.25,3.24,2802
234,0.7,Very Good,G,SI1,62.8,56,5.64,5.66,3.55,2304
238,0.32,Ideal,G,VS2,61.8,57,4.4,4.37,2.71,720
239,0.74,Ideal,F,VVS2,61.5,55,5.85,5.82,3.59,3879
240,2.03,Ideal,F,SI2,61.4,58,8.12,8.16,5,18535
241,1.24,Premium,F,VS2,62.2,58,6.89,6.84,4.27,9411
243,0.34,Ideal,D,VS2,62.9,56,4.5,4.44,2.81,1033
246,0.51,Ideal,E,VS2,60.9,56,5.15,5.2,3.15,1656
252,0.32,Premium,G,VVS2,61.7,59,4.37,4.41,2.71,730
256,2.01,Premium,I,SI1,60.9,60,8.1,8.06,4.92,15528
266,0.63,Ideal,G,VS2,60.9,56,5.57,5.6,3.4,2357
269,1.27,Good,I,VS2,63.3,63,6.82,6.87,4.33,5923
275,0.25,Very Good,F,VVS2,61.6,57,4.05,4.08,2.5,633
278,0.91,Ideal,E,SI2,62.7,57,6.19,6.26,3.9,3756
279,1.04,Ideal,G,VS1,62.3,56,6.45,6.49,4.03,7457
280,0.4,Very Good,H,VS1,61.3,59,4.79,4.74,2.92,818
281,0.7,Very Good,E,IF,60.3,59,5.72,5.76,3.46,4679
283,0.56,Ideal,H,VS1,61.8,55,5.29,5.33,3.28,1770
287,2.01,Ideal,I,VS1,61.4,59,8.06,8.13,4.97,17227
289,0.41,Ideal,E,VS1,61.7,57,4.8,4.76,2.95,1153
295,1.71,Very Good,H,VS2,62.6,59,7.54,7.58,4.73,13445
297,0.91,Very Good,E,VS2,62.8,59,6.15,6.17,3.87,4823
300,0.39,Very Good,F,VVS1,62.7,57,4.64,4.68,2.92,1232
311,1,Very Good,G,SI2,63.3,56,6.38,6.29,4.01,3920
312,0.54,Very Good,F,VS1,60,59,5.26,5.32,3.17,1653
313,1.06,Premium,F,VS2,61.8,60,6.58,6.53,4.05,6673
314,0.41,Ideal,G,VVS2,61.7,55,4.81,4.85,2.98,1199
317,0.51,Premium,F,SI1,59.4,60,5.19,5.21,3.09,1308
318,1.41,Premium,G,SI1,62.1,59,7.23,7.13,4.46,8572
319,0.79,Very Good,G,SI1,60.6,57,5.98,6.06,3.65,2793
323,0.31,Ideal,F,VS2,61.1,56,4.35,4.39,2.67,640
325,1.27,Premium,I,SI1,60.9,59,6.94,6.99,4.24,5588
328,0.34,Ideal,G,IF,61.6,54,4.49,4.53,2.78,974
329,0.55,Premium,E,SI1,62.4,57.6,5.23,5.28,3.27,1630
330,1.08,Good,E,SI1,58.4,60,6.71,6.74,3.93,5575
332,0.27,Very Good,E,VS2,58.6,57,4.3,4.33,2.53,449
334,0.9,Good,D,SI2,64,59,6.04,6.09,3.88,4078
337,1.3,Ideal,G,VS1,62,55,6.98,7.02,4.34,10038
338,1.17,Fair,I,I1,65.4,62,6.68,6.57,4.33,2935
339,0.57,Ideal,G,VS1,62.5,54.2,5.29,5.31,3.31,1943
341,0.38,Premium,F,VS2,60.9,56,4.72,4.67,2.86,1026
342,1.05,Good,D,SI2,60,63,6.59,6.64,3.97,4560
344,1.06,Ideal,G,VS2,62.2,56,6.51,6.54,4.06,6660
348,0.79,Ideal,E,SI1,62.1,54,5.92,5.96,3.69,3107
350,1.15,Very Good,H,SI1,62.4,57,6.68,6.71,4.18,5270
352,0.32,Ideal,G,IF,61.7,56,4.39,4.42,2.72,918
356,0.4,Ideal,H,VS2,61.4,55,4.76,4.78,2.93,725
362,1.21,Very Good,G,SI2,62.7,59,6.66,6.74,4.2,5308
364,1,Very Good,F,VS2,62.8,57,6.29,6.35,3.97,6957
367,0.91,Very Good,H,VS1,59.4,63,6.32,6.28,3.74,4670
370,1.5,Ideal,H,SI1,62,55,7.34,7.29,4.54,11189
371,0.41,Very Good,J,IF,63.5,54,4.75,4.7,3,1061
372,0.4,Ideal,H,VVS2,62.4,57,4.73,4.69,2.94,1125
378,1.29,Very Good,I,SI1,63.6,57,6.88,6.92,4.39,5771
380,0.54,Ideal,F,SI1,61.2,56,5.23,5.29,3.22,1307
382,0.41,Very Good,H,VS1,61.5,55,4.8,4.82,2.96,788
383,1.11,Ideal,H,VVS2,61.4,57,6.67,6.63,4.08,6962
389,0.31,Premium,F,VS2,59.7,60,4.42,4.39,2.63,802
390,1.01,Very Good,G,VS1,63.6,57,6.34,6.36,4.04,7021
392,0.3,Ideal,F,VS1,62.6,57,4.29,4.34,2.7,570
395,0.9,Premium,I,SI2,60.6,60,6.28,6.23,3.79,2948
396,0.51,Ideal,H,IF,60.3,58,5.15,5.17,3.11,1899
400,1.02,Premium,E,VS2,58.4,57,6.64,6.59,3.86,6854
402,2.06,Premium,H,SI1,62.4,59,8.11,8.07,5.05,14863
403,1.15,Ideal,F,VVS2,62.1,55,6.74,6.69,4.17,8903
405,0.31,Premium,H,VS1,62.4,58,4.32,4.36,2.71,544
408,0.31,Very Good,H,VS2,60.5,63,4.33,4.37,2.63,489
409,0.33,Premium,E,VVS1,59.7,58,4.49,4.52,2.69,984
410,1.17,Very Good,H,SI2,62.7,56,6.68,6.74,4.21,4826
412,0.81,Ideal,F,SI1,61.9,57,5.98,6.01,3.71,2977
413,1.1,Ideal,I,SI2,61.7,56,6.65,6.6,4.09,3216
414,0.43,Ideal,G,VS1,61.9,55,4.84,4.86,3,943
415,0.83,Premium,E,SI1,60.7,58,6.06,6.09,3.69,3482
416,1.22,Premium,F,VS2,,58,6.89,6.86,4.26,8733
417,1.02,Premium,G,SI1,61.7,58,6.47,6.37,3.96,5169
419,0.7,Very Good,D,SI1,61.1,57,5.74,5.66,3.48,2677
420,0.91,Fair,D,SI1,,60,6.08,6.04,3.9,3855
424,1.01,Very Good,D,SI1,62.2,58,6.36,6.4,3.97,5122
425,0.77,Ideal,I,VS1,61.4,56,5.86,5.9,3.61,2635
426,1.23,Premium,I,VS1,61.6,58,6.9,6.84,4.23,5632
431,0.79,Ideal,E,VS2,61.8,56,5.91,5.94,3.66,3605
433,1.62,Ideal,G,VS2,61.7,54,7.57,7.58,4.68,15318
434,2.07,Ideal,I,SI2,62,55,8.22,8.12,5.07,16337
435,0.71,Very Good,H,VS1,62.7,57,5.66,5.72,3.57,2559
437,1,Good,H,SI1,63.4,56,6.34,6.37,4.03,4389
438,1.51,Premium,F,SI1,61.4,58,7.43,7.35,4.54,11817
440,0.58,Ideal,F,VVS2,62.2,56,5.32,5.35,3.32,2509
442,0.9,Fair,D,SI2,64.7,59,6.09,5.99,3.91,3205
443,0.52,Ideal,G,VVS1,60.7,55,5.19,5.29,3.18,2065
444,2,Premium,G,SI2,60.4,61,8.21,8.12,4.93,17136
447,0.27,Ideal,H,VS1,61.6,56,4.16,4.19,2.57,480
451,0.47,Ideal,E,VVS2,61.6,56,4.97,5.01,3.07,2113
452,0.89,Very Good,I,VS2,63.1,55,6.09,6.17,3.87,3238
453,1,Premium,G,VS2,59.3,60,6.55,6.51,3.87,6048
454,0.32,Ideal,H,VS2,,55,4.42,4.38,2.75,648
455,1.62,Premium,G,VS2,62.3,58,7.49,7.54,4.68,13578
457,0.44,Good,D,SI1,58.8,62,4.97,5,2.93,777
458,1.05,Premium,G,SI2,60.1,60,6.66,6.58,3.98,3898
459,0.4,Ideal,D,SI1,61.3,57,4.74,4.79,2.92,726
460,0.7,Premium,H,VS1,61.9,56,5.7,5.67,3.52,2367
461,0.7,Very Good,I,VS2,62.2,59,5.64,5.71,3.53,1666
462,1.44,Very Good,D,VS2,,56,7.15,7.12,4.5,10967
464,1.01,Premium,H,SI1,61.8,59,6.38,6.33,3.93,5204
466,1.2,Ideal,G,SI1,62.2,58,6.77,6.84,4.23,6741
469,2.05,Premium,J,VS1,62.5,60,8.14,8.09,5.07,15109
474,0.5,Good,E,SI1,64.2,59,5.03,4.97,3.21,1090
475,0.3,Premium,G,VVS2,61.8,59,4.26,4.22,2.62,878
477,1.01,Premium,F,VS2,61.7,58,6.47,6.43,3.98,7240
482,1.58,Ideal,I,SI1,62.3,55,7.42,7.49,4.64,9457
486,1.02,Premium,E,VVS1,61.5,59,6.41,6.46,3.96,11062
491,0.96,Fair,F,SI2,65.2,58,6.14,6.12,3.99,3688
495,0.31,Premium,E,SI1,59.1,59,4.44,4.42,2.62,698
496,0.52,Ideal,E,VS2,61.3,55,5.18,5.2,3.18,1712
498,0.32,Ideal,D,VS2,62.6,55,4.39,4.37,2.74,972
502,0.73,Premium,G,VS2,60.7,58,5.87,5.82,3.55,2770
503,0.9,Ideal,F,VS2,62.3,57,6.18,6.21,3.86,5160
505,0.25,Premium,E,VVS1,62.9,58,4.03,4.01,2.53,740
506,1.76,Ideal,I,VS1,62,57,7.74,7.71,4.79,11722
511,1.57,Ideal,J,VVS2,61.4,57,7.5,7.45,4.59,9516
514,1.46,Premium,G,SI2,62.8,52,7.31,7.27,4.58,5421
517,1.01,Good,G,VS2,63.9,54,6.37,6.31,4.05,5701
518,1.5,Premium,G,VS1,62.4,60,7.29,7.22,4.53,13009
522,0.71,Premium,I,VS1,62.5,61,5.68,5.64,3.54,2202
525,0.71,Good,E,SI1,65.9,57,5.51,5.57,3.65,2631
528,0.3,Good,D,SI1,63.2,56,4.24,4.27,2.69,552
531,0.31,Ideal,F,VVS1,60.4,59,4.35,4.43,2.65,779
532,0.3,Good,G,VVS2,63.3,57,4.23,4.27,2.69,684
533,0.31,Ideal,D,VS2,62.8,54,4.32,4.34,2.72,692
535,0.36,Very Good,E,SI1,62.9,56,4.52,4.57,2.86,631
538,1,Ideal,G,VS1,62.2,56,6.35,6.41,3.97,6349
539,0.77,Ideal,H,VS2,61.3,56,5.91,5.94,3.63,3996
542,1.5,Very Good,F,VS2,62.6,59,7.22,7.31,4.55,12870
543,2.03,Premium,J,SI2,62.7,59,8.08,8.02,5.05,12380
544,0.71,Ideal,J,VS2,62.4,54,5.72,5.76,3.58,1899
547,1.2,Very Good,E,SI2,61.4,58,6.81,6.88,4.2,6130
549,1.01,Very Good,F,SI2,62.8,60,6.33,6.4,4,4416
553,0.5,Ideal,E,VS2,62.5,57,5.1,5.04,3.17,1629
555,1.12,Ideal,F,VS2,61.9,55,6.68,6.73,4.15,7589
556,1.01,Good,F,SI1,63.7,57,6.4,6.35,4.06,4989
559,1,Ideal,I,SI2,,56,6.38,6.35,3.98,3276
561,1.02,Ideal,H,SI2,58.8,57,6.61,6.55,3.87,3142
562,1.07,Ideal,E,VVS2,61.7,57,6.55,6.61,4.06,10104
564,0.31,Ideal,E,VS2,59.8,57,4.43,4.46,2.65,695
568,1.2,Good,G,SI2,,54,6.75,6.71,4.28,5141
569,1.31,Very Good,I,SI2,59.6,60,7.09,7.17,4.25,5187
571,0.33,Ideal,D,VVS1,60.5,56,4.5,4.53,2.73,1257
572,1.02,Premium,D,VS2,59.8,61,6.61,6.54,3.93,6909
578,0.32,Premium,E,SI2,61.7,60,4.41,4.38,2.71,576
581,1.51,Ideal,J,VS2,,56,7.37,7.4,4.54,8203
583,0.41,Premium,D,VVS2,61.2,62,4.82,4.78,2.94,1356
584,0.41,Premium,D,VS1,60.6,59,4.84,4.8,2.92,1082
585,1.51,Ideal,G,VS2,62.3,54,7.35,7.33,4.57,13828
588,1.5,Fair,E,VS1,65.4,57,7.14,7.07,4.65,15584
594,0.4,Ideal,G,IF,62,56,4.73,4.76,2.94,1229
595,1.06,Very Good,G,I1,60.7,63,6.59,6.56,3.99,2080
599,1.41,Premium,H,SI2,59.1,57,7.41,7.34,4.36,7106
600,1.11,Premium,H,SI2,61.6,60,6.6,6.67,4.09,4578
601,1,Premium,H,SI1,59,60,6.52,6.56,3.86,4389
605,1.06,Ideal,H,SI1,61.7,56,6.58,6.55,4.05,5188
614,0.34,Good,I,VVS2,63.1,56,4.43,4.47,2.81,596
617,0.35,Ideal,F,VS2,61.4,54,4.58,4.54,2.8,906
618,0.59,Ideal,D,SI2,59.1,57,5.52,5.48,3.25,1425
621,0.5,Ideal,D,VS1,61.6,57,5.09,5.13,3.15,1923
622,0.4,Premium,G,VS2,61.9,58,4.74,4.76,2.94,753
623,1.04,Very Good,G,SI2,62.6,58,6.42,6.49,4.04,4375
625,1.01,Good,G,SI1,63.7,60,6.28,6.32,4.01,5021
627,0.32,Good,D,SI1,63.6,56,4.34,4.37,2.77,589
632,1,Ideal,F,VS2,62,55,6.43,6.48,4,5844
633,0.27,Very Good,G,VVS1,60.1,58,4.21,4.23,2.53,566
634,1,Premium,I,SI1,62.2,62,6.39,6.33,3.96,3360
635,0.36,Premium,D,VS2,59.1,58,4.63,4.68,2.75,852
639,1.5,Very Good,I,VS1,62.2,59,7.27,7.3,4.53,10164
641,1.01,Ideal,I,VS2,62.6,54,6.4,6.45,4.02,4239
642,0.31,Ideal,F,VS1,61.1,57,4.34,4.36,2.66,729
643,1.5,Fair,F,VVS2,64.7,53,7.22,7.15,4.65,16364
645,0.7,Very Good,F,VS2,61.4,57,5.73,5.76,3.53,2400
646,0.78,Premium,F,SI1,60.8,60,5.97,5.94,3.62,2826
649,1.04,Premium,F,SI1,62.2,60,6.48,6.44,4.02,5300
651,0.4,Ideal,E,VVS2,61.7,56,4.77,4.73,2.93,1238
653,0.4,Very Good,G,SI2,62.9,57,4.68,4.7,2.95,630
657,0.33,Premium,G,VVS1,61.2,60,4.44,4.42,2.71,1114
659,0.58,Fair,G,VS1,64.7,60,5.23,5.28,3.41,1701
662,1.01,Very Good,F,SI2,63.4,60,6.33,6.26,3.99,3563
663,0.56,Ideal,G,VVS2,60.7,56,5.33,5.32,3.23,2167
664,0.39,Ideal,F,VS1,61.9,55.2,4.66,4.7,2.89,939
665,1.14,Ideal,G,SI1,61.7,56,6.71,6.75,4.15,6741
667,0.36,Premium,H,SI1,63,55,4.54,4.51,2.85,648
668,0.33,Ideal,G,IF,61.6,55,4.51,4.48,2.77,1052
669,0.41,Ideal,E,SI2,60.7,57,4.85,4.81,2.93,876
671,1.36,Premium,H,SI2,60.1,56,7.23,7.18,4.38,5103
672,0.53,Ideal,E,VVS1,62.1,55,5.18,5.23,3.23,2604
673,0.43,Ideal,D,SI2,61,57,4.81,4.86,2.95,716
676,0.7,Premium,E,VS2,60.8,58,5.7,5.74,3.48,2673
677,1.04,Premium,G,VS2,62.5,58,6.47,6.43,4.03,6290
681,0.28,Very Good,F,VVS2,61.6,56,4.2,4.23,2.59,707
682,0.39,Very Good,E,VS2,62.7,59,4.64,4.68,2.92,794
683,0.41,Ideal,F,VVS1,62.3,57,4.73,4.77,2.96,1295
686,2.04,Very Good,J,VS2,63,58,7.99,8.02,5.04,13609
690,0.51,Premium,E,SI1,62.4,59,5.07,5.12,3.18,1381
691,1.21,Premium,I,SI1,61.7,56,6.87,6.82,4.22,6098
692,0.71,Good,F,SI1,63.7,58,5.65,5.62,3.59,2308
693,0.92,Premium,F,SI2,58.1,58,6.46,6.41,3.74,3282
696,1.21,Premium,I,SI1,61.6,58,6.89,6.84,4.23,5353
697,2,Very Good,I,VS2,,62,8.17,8.2,4.8,15923
700,1.52,Premium,H,SI2,62,58,7.37,7.34,4.56,7906
702,0.35,Premium,E,VS2,60.9,59,4.54,4.56,2.77,767
705,0.32,Premium,G,VS2,61.5,60,4.4,4.42,2.71,561
709,1.57,Very Good,J,VS2,62.6,60,7.34,7.41,4.62,7813
710,0.3,Ideal,F,VS1,61.9,55.1,4.31,4.34,2.68,652
714,1.2,Ideal,E,VVS1,61.8,56,6.78,6.87,4.22,16256
715,0.33,Premium,I,IF,62.1,58,4.43,4.39,2.74,891
720,1.36,Ideal,J,VVS2,61.9,56,7.16,7.13,4.42,6973
721,0.55,Ideal,E,SI1,,56,5.23,5.26,3.27,1551
722,1.01,Good,H,VS2,64.4,58,6.18,6.24,4,5331
723,0.54,Premium,D,SI1,62,55,5.24,5.21,3.24,1786
727,0.38,Premium,F,SI1,60.4,58,4.72,4.68,2.84,898
728,1.33,Premium,G,SI2,60.3,58,7.16,7.19,4.33,6565
729,1.03,Very Good,F,IF,62.8,57,6.4,6.47,4.04,10032
736,1.29,Ideal,F,VS1,62.3,54.4,6.93,7,4.34,10727
742,2.35,Very Good,I,SI2,58.5,57,8.72,8.77,5.12,15122
745,2.01,Very Good,H,SI1,,60,8.25,8.2,4.94,17476
746,0.3,Premium,E,VS2,61.6,58,4.33,4.31,2.66,844
747,0.44,Very Good,G,SI2,60.6,55,4.94,4.96,3,1016
749,2.21,Premium,H,SI2,61.3,60,8.35,8.33,5.11,14032
753,0.74,Ideal,H,SI2,,56,5.78,5.84,3.57,2289
754,0.25,Very Good,E,VVS2,63.4,58,3.97,4.01,2.53,575
764,0.96,Very Good,G,SI1,60.3,57,6.35,6.38,3.84,4265
765,0.4,Ideal,D,VS1,62.3,56,4.74,4.77,2.96,1059
766,0.44,Very Good,E,VVS2,59.6,59,4.98,4.99,2.97,1337
768,0.74,Very Good,E,SI2,61,57,5.83,5.88,3.57,2574
772,0.42,Premium,I,SI2,61.5,59,4.84,4.78,2.96,709
774,1.11,Ideal,E,SI2,61.2,57,6.7,6.74,4.11,4969
775,2.18,Ideal,J,VS2,60.3,57,8.41,8.45,5.08,16427
777,0.53,Very Good,G,VS2,60.1,59,5.22,5.26,3.15,1449
779,0.73,Good,F,VVS2,59.5,61,5.8,5.83,3.46,3616
780,1.5,Very Good,J,VVS1,62.3,62,7.16,7.23,4.48,8415
782,1,Good,J,SI1,61.7,62,6.37,6.4,3.94,3690
783,0.43,Very Good,E,SI1,,56,4.82,4.8,3.05,894
784,0.47,Very Good,G,SI1,62.8,56,4.96,4.93,3.11,1133
786,1.52,Fair,H,VS2,62.1,66,7.33,7.13,4.5,8674
788,1.23,Very Good,D,SI1,62.3,57,6.8,6.87,4.26,8079
789,0.5,Ideal,H,VS2,60.8,56,5.17,5.19,3.14,1446
791,1.01,Premium,H,SI1,58.2,62,6.54,6.48,3.78,4191
792,0.33,Ideal,E,VVS1,62.2,55,4.42,4.46,2.76,986
793,1.01,Ideal,F,VS1,62.5,54,6.46,6.43,4.03,7602
795,0.51,Ideal,F,VS2,62.8,57,5.1,5.06,3.19,1619
798,1.02,Premium,G,VS1,61,58,6.55,6.49,3.98,6683
799,1.15,Ideal,E,SI1,62.7,56,6.73,6.7,4.21,5526
801,1.5,Ideal,F,VS2,62.4,55,7.31,7.25,4.54,14199
802,1.18,Premium,G,VVS2,58.2,62,6.92,6.89,4.02,9188
803,0.57,Premium,G,VS1,60.2,57,5.42,5.37,3.25,1819
804,0.75,Very Good,G,SI1,62.3,59,5.77,5.81,3.61,2462
806,1.21,Ideal,H,VVS2,60.4,57,6.9,6.93,4.18,7954
807,0.56,Ideal,E,VS2,61.7,54,5.28,5.35,3.28,1819
813,0.3,Premium,D,IF,62.1,59,4.27,4.29,2.66,1130
815,1.02,Ideal,F,VS1,62.2,57,6.39,6.43,3.99,7836
817,0.32,Premium,E,SI1,61.9,59,4.36,4.39,2.71,561
818,0.54,Premium,E,SI1,60.2,58,5.27,5.3,3.18,1361
822,0.93,Premium,J,VS2,61.1,59,6.34,6.32,3.87,3125
823,0.43,Ideal,I,VS1,62.4,56,4.81,4.84,3.01,1218
830,1.61,Premium,F,VS2,62.3,59,7.53,7.47,4.67,15426
831,0.31,Very Good,E,SI1,63.5,57,4.32,4.28,2.73,698
833,0.33,Premium,H,IF,62,58,4.39,4.42,2.73,868
835,1.51,Good,I,VS1,64,60,7.1,7.19,4.57,8975
836,1.08,Very Good,H,VS2,62.9,59,6.47,6.56,4.1,5515
837,1.02,Premium,H,VS2,62.4,58,6.39,6.43,4,5356
838,1.2,Premium,E,SI1,62.5,56,6.75,6.71,4.21,6742
840,0.32,Good,H,VS2,63.1,55,4.33,4.36,2.74,505
842,1.31,Premium,H,VS2,62.5,58,6.97,6.94,4.35,7277
843,0.7,Very Good,E,SI1,61.2,57,5.68,5.73,3.49,2753
844,1.16,Ideal,I,VS2,61.5,57,6.78,6.75,4.16,5302
845,1.61,Premium,G,SI1,62.6,58,7.48,7.45,4.67,11303
847,1.21,Premium,G,SI2,,58,6.9,6.96,4.18,5430
851,1.02,Premium,I,SI1,60.2,60,6.45,6.39,3.87,3713
853,0.7,Ideal,E,SI1,60.2,57,5.78,5.82,3.49,2575
855,0.7,Ideal,H,VS1,61.8,56,5.69,5.72,3.53,2691
857,0.73,Ideal,E,SI2,60.4,56,5.81,5.89,3.54,2434
861,0.3,Very Good,H,VS2,63.5,54,4.3,4.27,2.72,608
863,0.32,Ideal,E,VS2,62.3,56,4.41,4.38,2.74,900
864,0.57,Premium,G,VS2,61.1,59,5.39,5.32,3.27,1571
867,0.44,Premium,G,VS2,60.6,58,4.96,4.9,2.99,1063
869,0.34,Ideal,D,IF,62.1,57,4.52,4.46,2.79,2346
